window_end_ms,freq_mhz,avg_response_ms,power_w,temp_c,num_completed
0.453451,306,-1,5.781,49.281,0
132.327,306,66.1552,5.83,49.218,1
261.491,306,62.6286,5.79,49.25,2
390.041,306,59.9856,5.72,49.156,1
519.433,306,60.4571,5.72,49.375,1
648.886,306,60.0616,5.76,49.531,2
776.425,306,60.3868,5.68,49.312,1
905.966,306,60.6121,5.64,49.375,1
1037.74,306,61.6993,5.72,49.531,2
1166.77,306,60.4507,5.68,49.312,1
1294.57,306,60.0281,5.649,49.25,1
1423.59,306,59.1365,5.689,49.343,1
1553.29,306,60.9964,5.72,49.187,2
1681.37,306,60.193,5.649,49.218,1
1809.4,306,60.4291,5.649,49.281,1
1940.12,306,61.5808,5.729,49.406,2
2068.82,306,60.0602,5.689,49.25,1
2197.1,306,60.3582,5.608,49.406,1
2326.96,306,59.8037,5.649,49.343,1
2456.41,306,61.2489,5.729,49.437,2
2584.93,306,62.1131,5.649,49.218,1
2713.39,306,60.187,5.649,49.281,1
2844.22,306,60.3214,5.729,49.437,2
2972.81,306,60.2481,5.689,49.531,1
3101.31,306,60.2485,5.649,49.312,1
3230.92,306,59.8528,5.689,49.25,1
3360.5,306,61.2412,5.729,49.281,2
3488.32,306,60.2891,5.649,49.218,1
3616.64,306,60.2279,5.649,49.187,1
3749.16,306,61.6893,5.729,49.312,2
3877.58,306,60.4264,5.689,49.25,1
4005.68,306,60.5713,5.649,49.218,1
4135.03,306,59.7899,5.689,49.562,1
4265.19,306,60.2816,5.689,49.375,2
4392.46,306,60.2158,5.649,49.281,1
4521.71,306,59.9263,5.649,49.5,1
4651.9,306,62.1387,5.72,49.25,2
4781.31,306,60.2548,5.689,49.375,1
4909.84,306,60.2139,5.649,49.312,1
5040.08,306,61.4022,5.689,49.25,1
5170.86,306,61.22,5.729,49.437,2
5298.18,306,60.3033,5.649,49.5,1
5426.96,306,63.2392,5.649,49.406,1
5557.55,306,61.8683,5.72,49.281,2
5685.98,306,60.5334,5.689,49.562,1
5815.05,306,60.7047,5.649,49.406,1
5944.51,306,59.2702,5.689,49.437,1
6073.17,306,60.2169,5.689,49.312,2
6201,306,60.1959,5.649,49.281,1
6329.52,306,62.6559,5.608,49.312,1
6460.07,306,61.6595,5.729,49.625,2
6588.34,306,60.6049,5.689,49.343,1
6718.03,306,60.3517,5.649,49.312,1
6848.22,306,60.9343,5.689,49.5,1
6977.17,306,61.1566,5.689,49.187,2
7104.97,306,60.3551,5.649,49.406,1
7233.82,306,66.1783,5.649,49.281,1
7365.21,306,61.5206,5.72,49.281,2
7493.36,306,60.0193,5.689,49.312,1
7622.48,306,61.9966,5.649,49.156,1
7753.21,306,60.2607,5.729,49.437,1
7881.76,306,60.1224,5.729,49.437,2
8009.2,306,60.0253,5.649,49.312,1
8138.2,306,60.2107,5.649,49.25,1
8268.69,306,61.704,5.729,49.468,2
8397.51,306,60.1247,5.689,49.218,1
8524.94,306,60.9239,5.649,49.437,1
8654.54,306,59.3733,5.689,49.281,1
8783.46,306,60.1552,5.689,49.375,2
8911.73,306,60.4724,5.649,49.312,1
9042.67,306,61.1202,5.649,49.281,1
9172.45,306,60.2879,5.729,49.343,2
9301,306,60.1826,5.689,49.281,1
9428.74,306,61.2086,5.649,49.5,1
9558.84,306,59.6033,5.689,49.281,1
9688.33,306,61.28,5.729,49.343,2
9816.09,306,60.519,5.649,49.343,1
9944.78,306,61.6351,5.649,49.25,1
10075,306,60.4126,5.72,49.312,2
10204.2,306,60.2407,5.649,49.531,1
10332.3,306,61.4289,5.649,49.406,1
10463.3,306,59.763,5.689,49.281,1
10592.1,306,61.036,5.689,49.312,2
10719.3,306,60.2722,5.649,49.281,1
10848.8,306,64.5848,5.649,49.406,1
10979.4,306,61.6183,5.72,49.343,2
11107.4,306,60.6177,5.689,49.312,1
11235.9,306,62.3921,5.649,49.281,1
11364.7,306,60.4913,5.689,49.343,1
11493.6,306,60.9493,5.689,49.312,2
11621.9,306,60.2604,5.649,49.437,1
11751.4,306,59.8636,5.649,49.312,1
11881.4,306,60.5318,5.729,49.281,2
12010.1,306,60.3179,5.689,49.312,1
12138.1,306,60.6877,5.649,49.5,1
12267.1,306,62.4307,5.729,49.437,1
12396.2,306,60.1791,5.689,49.437,2
12524.4,306,60.1612,5.649,49.375,1
12653.7,306,60.7864,5.649,49.312,1
12783.9,306,61.466,5.729,49.5,2
12913.1,306,60.9749,5.689,49.593,1
13041.8,306,60.3465,5.649,49.25,1
13173,306,62.1968,5.729,49.343,1
13302.2,306,60.7664,5.689,49.593,2
13430.8,306,60.9529,5.649,49.375,1
13561.1,306,59.7129,5.68,49.281,1
13691.2,306,60.9772,5.76,49.593,2
13821.2,306,60.9437,5.689,49.437,1
13949.8,306,61.0028,5.649,49.281,1
14080.1,306,61.9109,5.72,49.343,2
14208.8,306,61.0785,5.689,49.281,1
14337.3,306,60.7068,5.649,49.468,1
14465.8,306,69.2696,5.68,49.593,1
14595.1,306,61.1155,5.72,49.375,2
14723.9,306,61.0691,5.649,49.281,1
14852.8,306,63.7801,5.649,49.625,1
14983.7,306,60.8454,5.72,49.5,2
15112.8,306,60.1783,5.689,49.562,1
15241.6,306,60.8839,5.649,49.312,1
15370.8,306,60.1682,5.689,49.375,1
15500.9,306,59.9996,5.729,49.406,2
15628.2,306,60.0152,5.649,49.593,1
15758.1,306,61.0572,5.649,49.281,1
15888.9,306,60.196,5.729,49.312,2
16017.9,306,60.679,5.649,49.531,1
16145.8,306,61.0098,5.649,49.343,1
16276.3,306,61.4001,5.729,49.343,1
16405.1,306,60.1734,5.689,49.406,2
16532.9,306,60.2367,5.649,49.25,1
16661.6,306,60.1039,5.649,49.5,1
16791.6,306,61.7493,5.729,49.625,2
16920.7,306,60.4719,5.689,49.437,1
17048.8,306,61.3456,5.649,49.343,1
17178.8,306,59.8105,5.689,49.718,1
17307.5,306,60.2561,5.689,49.281,2
17437.1,306,60.4052,5.608,49.468,1
17566.5,306,60.0832,5.649,49.406,1
17696.7,306,61.5591,5.729,49.281,2
17824.5,306,60.4509,5.689,49.312,1
17952.9,306,60.3529,5.649,49.687,1
18081.1,306,62.5859,5.729,49.406,1
18210.6,306,60.8431,5.729,49.468,2
18338.5,306,60.1751,5.649,49.312,1
18467.4,306,59.8264,5.649,49.343,1
18597.1,306,61.3698,5.729,49.312,2
18725.4,306,60.9767,5.689,49.625,1
18854,306,60.6841,5.649,49.468,1
18984.8,306,60.2419,5.689,49.343,1
19113.4,306,61.1229,5.689,49.375,2
19240.9,306,60.7393,5.649,49.281,1
19370.6,306,60.9253,5.649,49.531,1
19500.9,306,60.3337,5.72,49.437,2
19629.2,306,60.3558,5.649,49.437,1
19756.9,306,61.2634,5.649,49.281,1
19886.5,306,60.2865,5.68,49.625,1
20015.8,306,60.2609,5.689,49.281,2
20143.5,306,60.5608,5.649,49.593,1
20272.7,306,60.1194,5.649,49.437,1
20403.3,306,60.4316,5.729,49.312,2
20531.7,306,60.3411,5.649,49.281,1
20659.3,306,61.8038,5.649,49.25,1
20790,306,59.8188,5.689,49.468,1
20919.1,306,60.3502,5.689,49.531,2
21046.8,306,60.5891,5.608,49.375,1
21176.4,306,62.358,5.649,49.312,1
21307.3,306,61.5147,5.72,49.531,2
21436.1,306,60.5571,5.649,49.375,1
21564.3,306,61.7797,5.649,49.406,1
21693.5,306,60.5863,5.689,49.406,1
21822.3,306,61.0623,5.689,49.437,2
21949.8,306,60.4185,5.649,49.281,1
22080,306,59.8229,5.649,49.562,1
22209.9,306,61.747,5.72,49.437,2
22338.7,306,60.3888,5.649,49.25,1
22467.5,306,60.718,5.649,49.593,1
22597.1,306,60.8995,5.72,49.343,1
22725.6,306,60.5026,5.689,49.437,2
22854.2,306,60.7902,5.649,49.343,1
22983.6,306,63.8553,5.649,49.25,1
23113.9,306,61.4437,5.72,49.281,2
23242.2,306,60.3966,5.649,49.531,1
23369.9,306,60.9571,5.608,49.281,1
23498.4,306,62.7181,5.689,49.531,1
23627.5,306,61.4812,5.689,49.343,2
23755.2,306,60.7807,5.608,49.375,1
23884.4,306,62.6749,5.649,49.156,1
24014.2,306,61.9589,5.72,49.593,2
24144.9,306,60.7684,5.689,49.406,1
24273.3,306,61.3283,5.649,49.312,1
24401.8,306,60.3114,5.729,49.343,1
24530.9,306,61.4991,5.729,49.281,2
24658.2,306,60.3511,5.649,49.281,1
24786.9,306,60.0271,5.649,49.625,1
24917,306,60.3948,5.729,49.437,2
25045.4,306,60.3976,5.689,49.343,1
25174.1,306,61.0101,5.649,49.375,1
25304,306,62.0849,5.689,49.281,1
25432.8,306,60.7461,5.689,49.375,2
25560.2,306,60.4154,5.649,49.593,1
25689.2,306,59.446,5.649,49.437,1
25819.3,306,61.7612,5.729,49.312,2
25948.1,306,60.4813,5.689,49.343,1
26075.7,306,61.4003,5.649,49.312,1
26205.5,306,59.9295,5.689,49.5,1
26334.9,306,61.24,5.689,49.593,2
26462.5,306,60.4295,5.649,49.375,1
26591.5,306,59.7312,5.649,49.343,1
26722.1,306,61.624,5.72,49.656,2
26850.6,306,60.4884,5.689,49.468,1
26979.6,306,60.3054,5.649,49.281,1
27110,306,62.4252,5.689,49.437,1
27239,306,61.1689,5.689,49.281,2
27366.7,306,60.7484,5.649,49.5,1
27495.6,306,65.8448,5.649,49.343,1
27626.1,306,61.5061,5.72,49.281,2
27756.2,306,60.845,5.649,49.375,1
27884.4,306,61.7944,5.649,49.562,1
28012.5,306,61.9599,5.68,49.281,1
28141.7,306,60.8392,5.729,49.531,2
28269,306,60.3797,5.649,49.375,1
28399,306,59.8441,5.649,49.281,1
28529.1,306,60.1769,5.72,49.375,2
28656.9,306,60.8672,5.649,49.687,1
28784.4,306,61.7234,5.649,49.437,1
28915,306,61.1252,5.689,49.5,1
29044.3,306,60.3106,5.689,49.375,2
29172.6,306,60.8199,5.649,49.281,1
29302.1,306,59.9069,5.689,49.531,1
29433.6,306,60.1121,5.729,49.375,2
29562.3,306,59.9113,5.649,49.468,1
29689.9,306,62.5297,5.649,49.562,1
29821.2,306,62.3136,5.729,49.343,1
29949.7,306,61.1562,5.689,49.437,2
30077.7,306,60.2828,5.649,49.312,1
30208.5,306,60.1437,5.689,49.687,1
30338.7,306,60.4392,5.72,49.437,2
30467.6,306,60.4263,5.649,49.562,1
30595.4,306,60.3502,5.649,49.406,1
30726,306,60.7098,5.729,49.375,2
30854.9,306,60.2861,5.689,49.281,1
30983.3,306,60.3934,5.608,49.281,1
31112.9,306,60.63,5.689,49.5,1
31242.8,306,61.0296,5.72,49.343,2
31371.6,306,60.3976,5.649,49.281,1
31500.8,306,63.8128,5.649,49.437,1
31631.3,306,61.5691,5.72,49.343,2
31760.2,306,60.5351,5.689,49.375,1
31888.9,306,61.3869,5.649,49.281,1
32019.3,306,61.299,5.68,49.593,1
32149,306,60.2198,5.72,49.375,2
32277.6,306,60.2856,5.649,49.281,1
32406.6,306,63.5534,5.649,49.562,1
32537.5,306,61.8051,5.72,49.437,2
32666.9,306,60.2737,5.689,49.468,1
32795.5,306,61.7596,5.649,49.281,1
