window_end_ms,freq_mhz,avg_response_ms,power_w,temp_c,num_completed
0.160195,714,-1,5.337,50.281,0
228.244,714,39.528,6.53,50.281,3
456.546,714,38.9202,6.891,50.343,2
684.209,714,38.871,7,50.25,2
912.432,714,38.8526,7.48,50.937,2
1139.96,714,38.9067,7.6,50.281,3
1368.9,714,38.841,7.48,50.5,2
1597.51,714,38.8636,7.48,50.625,2
1825.48,714,38.9522,7.8,50.468,3
2053.75,714,38.8486,7.64,50.406,2
2284.51,714,38.8528,7.48,50.25,2
2513.05,714,38.9813,7.68,50.843,2
2740.64,714,38.8918,7.76,50.468,3
2968.86,714,38.8312,7.6,50.5,2
3196.77,714,38.9033,7.48,50.656,2
3424.7,714,38.9297,7.8,50.906,3
3653.49,714,38.9317,7.72,50.718,2
3881.19,714,38.8292,7.52,50.375,2
4109.27,714,38.8529,7.64,51.062,2
4338.01,714,38.9222,7.84,50.687,3
4565.99,714,38.8433,7.64,50.718,2
4794.7,714,38.8296,7.44,50.625,2
5022.92,714,38.9239,7.76,51.281,2
5250.27,714,38.8675,7.76,50.687,3
5479.14,714,38.964,7.56,50.812,2
5707.49,714,38.8533,7.56,51.031,2
5935.72,714,38.8974,7.84,51.031,3
6163.4,714,38.8956,7.68,50.593,2
6391.05,714,38.8747,7.48,50.625,2
6619.63,714,38.9171,7.64,51.062,2
6847.08,714,38.8574,7.8,50.875,3
7075.2,714,38.8896,7.6,50.687,2
7302.97,714,38.8998,7.44,51.031,2
7531.66,714,38.8892,7.76,51.312,3
7759.3,714,38.8182,7.72,50.75,2
7987.38,714,38.8911,7.52,50.843,2
8215.37,714,38.9049,7.56,50.968,2
8443.07,714,38.8371,7.84,51.218,3
8671.13,714,38.8231,7.64,51.062,2
8898.71,714,38.86,7.48,50.718,2
9126.39,714,38.8422,7.68,51.125,2
9353.87,714,38.821,7.76,51,3
9582.21,714,38.8302,7.6,50.718,2
9809.85,714,38.8078,7.48,50.875,2
10037.5,714,38.8212,7.76,51.312,3
10264.9,714,38.8254,7.72,50.875,2
10492.8,714,38.833,7.56,50.906,2
10720.8,714,38.8579,7.6,51.125,2
10948.2,714,38.8107,7.84,51.093,3
11176.5,714,38.8728,7.64,51.093,2
11405,714,38.8796,7.48,50.906,2
11633,714,38.8862,7.72,51.562,2
11861.4,714,38.8245,7.76,50.937,3
12089.8,714,38.8102,7.56,51.093,2
12317.7,714,38.9269,7.52,51.156,2
12545.2,714,38.8333,7.84,51.437,3
12773.4,714,38.8239,7.68,50.875,2
13000.9,714,38.8216,7.52,50.906,2
13229,714,39.0767,7.64,51.218,2
13457,714,38.8363,7.8,51.218,3
13685.5,714,38.7975,7.64,50.937,2
13913.8,714,38.8205,7.44,51.25,2
14141.5,714,38.7676,7.76,51.281,3
14369.5,714,38.7958,7.72,51.187,2
14598.8,714,38.8282,7.56,50.875,2
14826.9,714,38.9116,7.56,51.218,2
15054.9,714,38.821,7.84,51.437,3
15282.8,714,38.803,7.64,51.093,2
15510.8,714,38.8974,7.48,51.187,2
15738.5,714,38.8379,7.68,51.406,2
15965.9,714,38.8265,7.8,51.343,3
16194.7,714,38.8513,7.6,51.281,2
16422.2,714,38.8414,7.48,51.25,2
16650.2,714,38.9856,7.76,51.375,3
16878.3,714,38.8392,7.72,51.156,2
17107.3,714,38.9339,7.52,50.937,2
17335,714,38.8463,7.56,51.531,2
17562.6,714,38.8445,7.84,51.281,3
17790.7,714,38.8317,7.64,51.218,2
18019,714,38.8454,7.48,51.218,2
18247.1,714,38.8048,7.68,51.531,2
18474.2,714,38.8488,7.8,51.375,3
18702.8,714,38.8459,7.6,50.968,2
18931,714,38.8399,7.52,51.531,2
19158.6,714,38.8073,7.8,51.75,3
19386.5,714,38.7854,7.72,51.218,2
19614.6,714,38.858,7.52,51.281,2
19843,714,38.8407,7.64,51.531,2
20070.8,714,38.8203,7.84,51.625,3
20298.9,714,38.7958,7.64,51.218,2
20527,714,38.8672,7.48,51.187,2
20755.2,714,38.9481,7.76,51.593,2
20982.1,714,38.8398,7.76,51.437,3
21210.6,714,38.805,7.6,51.156,2
21438.2,714,38.8605,7.52,51.593,2
21666.1,714,38.8248,7.84,51.375,3
21894.1,714,38.8164,7.72,51.375,2
22121.9,714,38.868,7.52,51.312,2
22350.1,714,38.8519,7.64,51.593,2
22578.6,714,38.8538,7.84,51.625,3
22806.3,714,38.8556,7.64,51.25,2
23033.7,714,38.846,7.48,51.687,2
23261.9,714,38.7988,7.76,51.687,3
23490.5,714,38.8578,7.76,51.593,2
23718.5,714,38.8721,7.56,51.312,2
23947.9,714,38.9291,7.6,51.656,2
24175.6,714,38.88,7.84,51.562,3
24403.6,714,38.8314,7.68,51.343,2
24631.8,714,39.0769,7.52,51.218,2
24860.1,714,38.9477,7.72,51.875,2
25087.9,714,38.8728,7.8,51.375,3
25315.9,714,38.8127,7.6,51.406,2
25544,714,38.8139,7.52,51.593,2
25774.1,714,38.8726,7.84,51.812,3
26002.2,714,38.8732,7.68,51.312,2
26229.5,714,38.8483,7.52,51.5,2
26458.6,714,38.9088,7.68,51.75,2
26686.4,714,38.8197,7.8,51.812,3
26914.9,714,38.8438,7.64,51.562,2
27142.4,714,38.8404,7.48,51.593,2
27370.4,714,38.8326,7.8,52.187,3
27598.3,714,38.8142,7.72,51.593,2
27827.9,714,38.9063,7.56,51.218,2
28055.8,714,38.9231,7.6,51.843,2
28284.1,714,38.9638,7.84,51.531,3
28512.5,714,38.8209,7.68,51.593,2
28741,714,38.8733,7.48,51.5,2
28969.1,714,38.8565,7.76,52,2
29196.6,714,38.8442,7.76,51.468,3
29426.1,714,38.8287,7.6,51.562,2
29654.4,714,38.8042,7.56,51.875,2
29882.2,714,38.8387,7.84,51.843,3
30111,714,38.8089,7.68,51.437,2
30339.8,714,38.9214,7.52,51.687,2
30568.2,714,38.8696,7.72,52.187,2
30796.3,714,38.8783,7.8,51.593,3
31024.6,714,38.8238,7.6,51.75,2
31252.7,714,38.8713,7.48,51.781,2
31480.8,714,38.871,7.8,52.25,3
31710.1,714,38.7999,7.72,51.625,2
31939,714,38.8766,7.52,51.375,2
32167.4,714,38.8583,7.64,52,2
32394.6,714,38.8364,7.84,51.687,3
32621.7,714,38.892,7.64,51.593,2
32849.5,714,38.8514,7.48,51.75,2
33077.5,714,38.8474,7.72,51.968,2
33305.3,714,38.8758,7.76,51.875,3
33534.6,714,38.8485,7.6,51.562,2
33762.2,714,38.8667,7.56,52.125,2
33990.5,714,38.8511,7.88,51.843,3
34218.6,714,38.8193,7.68,51.687,2
34446.2,714,38.83,7.52,51.781,2
34673.7,714,38.8407,7.64,52.062,2
34901.4,714,38.8403,7.8,52.093,3
35130.5,714,38.8271,7.64,51.656,2
35358.7,714,38.8578,7.48,51.781,2
35586.6,714,38.8563,7.8,52.125,3
35814.6,714,38.8419,7.76,51.687,2
36042.8,714,38.9142,7.56,51.687,2
36271.4,714,38.875,7.6,52.187,2
36499.5,714,38.9071,7.84,51.812,3
36727.1,714,38.8543,7.64,51.812,2
36955.5,714,38.8862,7.48,51.75,2
37184.5,714,38.9422,7.76,52.312,2
37412.1,714,38.8144,7.76,51.781,3
37641.5,714,38.8538,7.6,51.906,2
37869.5,714,38.9476,7.56,52.062,2
38097.3,714,38.8877,7.88,52.312,3
