task_id=0 response_ms=88.185 kernel_plus_memory_ms=87.9896 kernel_only_ms=84.4077 h2d_ms=1.27859 d2h_ms=2.3033
task_id=1 response_ms=87.1441 kernel_plus_memory_ms=87.0224 kernel_only_ms=84.0478 h2d_ms=1.28048 d2h_ms=1.69414
task_id=2 response_ms=86.9862 kernel_plus_memory_ms=86.8612 kernel_only_ms=84.006 h2d_ms=1.27315 d2h_ms=1.58211
task_id=3 response_ms=87.2071 kernel_plus_memory_ms=87.0957 kernel_only_ms=83.9672 h2d_ms=1.23856 d2h_ms=1.88989
task_id=4 response_ms=86.874 kernel_plus_memory_ms=86.7571 kernel_only_ms=83.983 h2d_ms=1.24698 d2h_ms=1.52707
task_id=5 response_ms=87.0584 kernel_plus_memory_ms=86.9457 kernel_only_ms=84.0165 h2d_ms=1.25338 d2h_ms=1.67584
task_id=6 response_ms=86.8589 kernel_plus_memory_ms=86.7525 kernel_only_ms=83.9883 h2d_ms=1.22771 d2h_ms=1.53645
task_id=7 response_ms=86.847 kernel_plus_memory_ms=86.7381 kernel_only_ms=84.0027 h2d_ms=1.22816 d2h_ms=1.5073
task_id=8 response_ms=86.8604 kernel_plus_memory_ms=86.7559 kernel_only_ms=83.9774 h2d_ms=1.27501 d2h_ms=1.50346
task_id=9 response_ms=86.896 kernel_plus_memory_ms=86.7781 kernel_only_ms=84.037 h2d_ms=1.21174 d2h_ms=1.52938
task_id=10 response_ms=87.0621 kernel_plus_memory_ms=86.9573 kernel_only_ms=83.9786 h2d_ms=1.23386 d2h_ms=1.7448
task_id=11 response_ms=86.863 kernel_plus_memory_ms=86.7348 kernel_only_ms=84.0123 h2d_ms=1.1952 d2h_ms=1.52723
task_id=12 response_ms=86.8443 kernel_plus_memory_ms=86.7251 kernel_only_ms=83.9932 h2d_ms=1.20659 d2h_ms=1.52531
task_id=13 response_ms=86.8915 kernel_plus_memory_ms=86.7812 kernel_only_ms=84.0012 h2d_ms=1.20944 d2h_ms=1.57062
task_id=14 response_ms=86.875 kernel_plus_memory_ms=86.7575 kernel_only_ms=84.0031 h2d_ms=1.23418 d2h_ms=1.52026
task_id=15 response_ms=86.8493 kernel_plus_memory_ms=86.7215 kernel_only_ms=83.9809 h2d_ms=1.22826 d2h_ms=1.51238
task_id=16 response_ms=86.9011 kernel_plus_memory_ms=86.7904 kernel_only_ms=84.002 h2d_ms=1.25373 d2h_ms=1.53462
task_id=17 response_ms=86.8871 kernel_plus_memory_ms=86.7533 kernel_only_ms=83.982 h2d_ms=1.24787 d2h_ms=1.52342
task_id=18 response_ms=87.2517 kernel_plus_memory_ms=87.1326 kernel_only_ms=83.9829 h2d_ms=1.2144 d2h_ms=1.93526
task_id=19 response_ms=87.3659 kernel_plus_memory_ms=87.2596 kernel_only_ms=84.0155 h2d_ms=1.22202 d2h_ms=2.02205
task_id=20 response_ms=86.9106 kernel_plus_memory_ms=86.7926 kernel_only_ms=83.9902 h2d_ms=1.20451 d2h_ms=1.59789
task_id=21 response_ms=87.0074 kernel_plus_memory_ms=86.8884 kernel_only_ms=83.9771 h2d_ms=1.21238 d2h_ms=1.69894
task_id=22 response_ms=86.8642 kernel_plus_memory_ms=86.7532 kernel_only_ms=84.0027 h2d_ms=1.22931 d2h_ms=1.52125
task_id=23 response_ms=86.8369 kernel_plus_memory_ms=86.6974 kernel_only_ms=83.9544 h2d_ms=1.23795 d2h_ms=1.50506
task_id=24 response_ms=86.9106 kernel_plus_memory_ms=86.7953 kernel_only_ms=84.0181 h2d_ms=1.28198 d2h_ms=1.4953
task_id=25 response_ms=86.8235 kernel_plus_memory_ms=86.7116 kernel_only_ms=83.971 h2d_ms=1.21962 d2h_ms=1.52093
task_id=26 response_ms=86.8439 kernel_plus_memory_ms=86.7145 kernel_only_ms=83.9709 h2d_ms=1.23965 d2h_ms=1.50394
task_id=27 response_ms=86.8115 kernel_plus_memory_ms=86.6966 kernel_only_ms=83.96 h2d_ms=1.18646 d2h_ms=1.55008
task_id=28 response_ms=87.0304 kernel_plus_memory_ms=86.9161 kernel_only_ms=84.012 h2d_ms=1.20211 d2h_ms=1.70202
task_id=29 response_ms=86.8162 kernel_plus_memory_ms=86.7015 kernel_only_ms=83.9987 h2d_ms=1.18294 d2h_ms=1.51978
task_id=30 response_ms=86.9964 kernel_plus_memory_ms=86.8628 kernel_only_ms=83.9775 h2d_ms=1.20205 d2h_ms=1.68326
task_id=31 response_ms=86.8578 kernel_plus_memory_ms=86.7377 kernel_only_ms=84.0185 h2d_ms=1.20112 d2h_ms=1.51808
task_id=32 response_ms=86.8805 kernel_plus_memory_ms=86.7715 kernel_only_ms=84.0256 h2d_ms=1.2119 d2h_ms=1.53395
task_id=33 response_ms=87.1927 kernel_plus_memory_ms=87.06 kernel_only_ms=84.021 h2d_ms=1.2313 d2h_ms=1.80768
task_id=34 response_ms=86.9068 kernel_plus_memory_ms=86.7756 kernel_only_ms=83.9671 h2d_ms=1.22531 d2h_ms=1.58314
task_id=35 response_ms=87.0851 kernel_plus_memory_ms=86.9732 kernel_only_ms=83.9929 h2d_ms=1.21859 d2h_ms=1.76166
task_id=36 response_ms=86.9901 kernel_plus_memory_ms=86.8621 kernel_only_ms=83.9892 h2d_ms=1.19917 d2h_ms=1.67373
task_id=37 response_ms=87.2579 kernel_plus_memory_ms=87.1516 kernel_only_ms=83.9601 h2d_ms=1.19293 d2h_ms=1.99859
task_id=38 response_ms=86.8836 kernel_plus_memory_ms=86.7659 kernel_only_ms=84.0268 h2d_ms=1.19597 d2h_ms=1.54314
task_id=39 response_ms=87.051 kernel_plus_memory_ms=86.9073 kernel_only_ms=83.9576 h2d_ms=1.26253 d2h_ms=1.68714
task_id=40 response_ms=86.8059 kernel_plus_memory_ms=86.6939 kernel_only_ms=83.9703 h2d_ms=1.2233 d2h_ms=1.50029
task_id=41 response_ms=87.1501 kernel_plus_memory_ms=87.046 kernel_only_ms=83.9954 h2d_ms=1.26442 d2h_ms=1.78621
task_id=42 response_ms=86.8717 kernel_plus_memory_ms=86.7463 kernel_only_ms=83.9697 h2d_ms=1.26602 d2h_ms=1.51059
task_id=43 response_ms=86.9129 kernel_plus_memory_ms=86.7829 kernel_only_ms=84.0057 h2d_ms=1.24157 d2h_ms=1.53565
task_id=44 response_ms=86.9465 kernel_plus_memory_ms=86.8243 kernel_only_ms=84.0212 h2d_ms=1.29059 d2h_ms=1.51248
task_id=45 response_ms=86.8628 kernel_plus_memory_ms=86.7094 kernel_only_ms=83.9939 h2d_ms=1.19578 d2h_ms=1.51974
task_id=46 response_ms=87.0382 kernel_plus_memory_ms=86.926 kernel_only_ms=84.0351 h2d_ms=1.1976 d2h_ms=1.69328
task_id=47 response_ms=86.8797 kernel_plus_memory_ms=86.7248 kernel_only_ms=83.9875 h2d_ms=1.20886 d2h_ms=1.52851
task_id=48 response_ms=86.935 kernel_plus_memory_ms=86.8029 kernel_only_ms=83.9963 h2d_ms=1.25702 d2h_ms=1.5496
task_id=49 response_ms=86.8696 kernel_plus_memory_ms=86.7575 kernel_only_ms=84.0239 h2d_ms=1.22013 d2h_ms=1.51347
task_id=50 response_ms=86.8939 kernel_plus_memory_ms=86.7706 kernel_only_ms=84.0356 h2d_ms=1.19722 d2h_ms=1.53776
task_id=51 response_ms=86.8404 kernel_plus_memory_ms=86.7096 kernel_only_ms=83.9856 h2d_ms=1.2089 d2h_ms=1.51517
task_id=52 response_ms=87.1414 kernel_plus_memory_ms=87.0171 kernel_only_ms=84.0221 h2d_ms=1.19149 d2h_ms=1.80349
task_id=53 response_ms=87.0955 kernel_plus_memory_ms=86.942 kernel_only_ms=84.0266 h2d_ms=1.35523 d2h_ms=1.56026
task_id=54 response_ms=87.0519 kernel_plus_memory_ms=86.8965 kernel_only_ms=84.0051 h2d_ms=1.35136 d2h_ms=1.54003
task_id=55 response_ms=87.0015 kernel_plus_memory_ms=86.8699 kernel_only_ms=84.0159 h2d_ms=1.29789 d2h_ms=1.55613
task_id=56 response_ms=87.119 kernel_plus_memory_ms=86.9967 kernel_only_ms=83.9977 h2d_ms=1.21632 d2h_ms=1.78262
task_id=57 response_ms=86.9118 kernel_plus_memory_ms=86.7738 kernel_only_ms=84.0387 h2d_ms=1.20342 d2h_ms=1.53162
task_id=58 response_ms=86.8216 kernel_plus_memory_ms=86.7142 kernel_only_ms=83.9933 h2d_ms=1.20614 d2h_ms=1.51472
task_id=59 response_ms=86.8937 kernel_plus_memory_ms=86.7605 kernel_only_ms=84.0194 h2d_ms=1.20966 d2h_ms=1.53146
task_id=60 response_ms=87.0246 kernel_plus_memory_ms=86.9105 kernel_only_ms=83.9956 h2d_ms=1.23219 d2h_ms=1.68272
