task_id=0 response_ms=40.6526 kernel_plus_memory_ms=40.3612 kernel_only_ms=16.3237 h2d_ms=11.3621 d2h_ms=12.6754
task_id=1 response_ms=39.7584 kernel_plus_memory_ms=39.4328 kernel_only_ms=15.0896 h2d_ms=11.9351 d2h_ms=12.4081
task_id=2 response_ms=38.9172 kernel_plus_memory_ms=38.7754 kernel_only_ms=15.0728 h2d_ms=11.9092 d2h_ms=11.7933
task_id=3 response_ms=38.9581 kernel_plus_memory_ms=38.7867 kernel_only_ms=15.0729 h2d_ms=11.8896 d2h_ms=11.8242
task_id=4 response_ms=39.5486 kernel_plus_memory_ms=39.4023 kernel_only_ms=15.071 h2d_ms=12.5444 d2h_ms=11.7868
task_id=5 response_ms=39.0195 kernel_plus_memory_ms=38.8741 kernel_only_ms=15.0875 h2d_ms=12.0097 d2h_ms=11.7769
task_id=6 response_ms=39.0422 kernel_plus_memory_ms=38.9106 kernel_only_ms=15.0925 h2d_ms=12.0335 d2h_ms=11.7845
task_id=7 response_ms=39.0893 kernel_plus_memory_ms=38.9462 kernel_only_ms=15.0797 h2d_ms=12.081 d2h_ms=11.7855
task_id=8 response_ms=39.0448 kernel_plus_memory_ms=38.8951 kernel_only_ms=15.0795 h2d_ms=12.0307 d2h_ms=11.7849
task_id=9 response_ms=39.5563 kernel_plus_memory_ms=39.4023 kernel_only_ms=15.0719 h2d_ms=12.4792 d2h_ms=11.8512
task_id=10 response_ms=39.4587 kernel_plus_memory_ms=39.3287 kernel_only_ms=15.0787 h2d_ms=11.7013 d2h_ms=12.5487
task_id=11 response_ms=38.6866 kernel_plus_memory_ms=38.5481 kernel_only_ms=15.0689 h2d_ms=11.678 d2h_ms=11.8012
task_id=12 response_ms=38.6913 kernel_plus_memory_ms=38.5344 kernel_only_ms=15.074 h2d_ms=11.6788 d2h_ms=11.7816
task_id=13 response_ms=39.4083 kernel_plus_memory_ms=39.2529 kernel_only_ms=15.0745 h2d_ms=12.0306 d2h_ms=12.1478
task_id=14 response_ms=39.0129 kernel_plus_memory_ms=38.8447 kernel_only_ms=15.097 h2d_ms=11.9935 d2h_ms=11.7541
task_id=15 response_ms=38.6875 kernel_plus_memory_ms=38.5447 kernel_only_ms=15.0817 h2d_ms=11.6722 d2h_ms=11.7907
task_id=16 response_ms=39.0748 kernel_plus_memory_ms=38.9226 kernel_only_ms=15.07 h2d_ms=12.0805 d2h_ms=11.772
task_id=17 response_ms=39.2023 kernel_plus_memory_ms=39.0483 kernel_only_ms=15.0731 h2d_ms=12.2102 d2h_ms=11.7649
task_id=18 response_ms=39.6075 kernel_plus_memory_ms=39.4629 kernel_only_ms=15.1188 h2d_ms=12.1924 d2h_ms=12.1517
task_id=19 response_ms=38.9756 kernel_plus_memory_ms=38.8465 kernel_only_ms=15.0747 h2d_ms=11.956 d2h_ms=11.8158
task_id=20 response_ms=38.9941 kernel_plus_memory_ms=38.8539 kernel_only_ms=15.0694 h2d_ms=12.0189 d2h_ms=11.7656
task_id=21 response_ms=38.9845 kernel_plus_memory_ms=38.8288 kernel_only_ms=15.0727 h2d_ms=11.9771 d2h_ms=11.779
task_id=22 response_ms=39.195 kernel_plus_memory_ms=39.0067 kernel_only_ms=15.0712 h2d_ms=11.5556 d2h_ms=12.3799
task_id=23 response_ms=38.8738 kernel_plus_memory_ms=38.695 kernel_only_ms=15.1117 h2d_ms=11.8152 d2h_ms=11.7681
task_id=24 response_ms=38.9024 kernel_plus_memory_ms=38.7398 kernel_only_ms=15.0843 h2d_ms=11.8715 d2h_ms=11.784
task_id=25 response_ms=38.8474 kernel_plus_memory_ms=38.6809 kernel_only_ms=15.0768 h2d_ms=11.8229 d2h_ms=11.7812
task_id=26 response_ms=39.074 kernel_plus_memory_ms=38.9124 kernel_only_ms=15.0783 h2d_ms=12.0183 d2h_ms=11.8158
task_id=27 response_ms=39.2639 kernel_plus_memory_ms=39.0761 kernel_only_ms=15.0917 h2d_ms=12.1221 d2h_ms=11.8622
task_id=28 response_ms=39.0817 kernel_plus_memory_ms=38.9556 kernel_only_ms=15.0812 h2d_ms=11.6128 d2h_ms=12.2615
