run_id,static_task,static_period_ms,sweep_task,sweep_period_ms,freq_hz,static_log,sweep_log
static_100_sweep_60,mm,100,stereo,60,918000000,logs/offdiag/mm_from_stereo/mm_100ms__static_100_sweep_60.json,logs/offdiag/mm_from_stereo/stereo_60ms__static_100_sweep_60.json
static_100_sweep_65,mm,100,stereo,65,918000000,logs/offdiag/mm_from_stereo/mm_100ms__static_100_sweep_65.json,logs/offdiag/mm_from_stereo/stereo_65ms__static_100_sweep_65.json
static_100_sweep_70,mm,100,stereo,70,918000000,logs/offdiag/mm_from_stereo/mm_100ms__static_100_sweep_70.json,logs/offdiag/mm_from_stereo/stereo_70ms__static_100_sweep_70.json
static_100_sweep_75,mm,100,stereo,75,918000000,logs/offdiag/mm_from_stereo/mm_100ms__static_100_sweep_75.json,logs/offdiag/mm_from_stereo/stereo_75ms__static_100_sweep_75.json
static_100_sweep_80,mm,100,stereo,80,918000000,logs/offdiag/mm_from_stereo/mm_100ms__static_100_sweep_80.json,logs/offdiag/mm_from_stereo/stereo_80ms__static_100_sweep_80.json
static_100_sweep_85,mm,100,stereo,85,918000000,logs/offdiag/mm_from_stereo/mm_100ms__static_100_sweep_85.json,logs/offdiag/mm_from_stereo/stereo_85ms__static_100_sweep_85.json
static_100_sweep_90,mm,100,stereo,90,918000000,logs/offdiag/mm_from_stereo/mm_100ms__static_100_sweep_90.json,logs/offdiag/mm_from_stereo/stereo_90ms__static_100_sweep_90.json
static_100_sweep_95,mm,100,stereo,95,918000000,logs/offdiag/mm_from_stereo/mm_100ms__static_100_sweep_95.json,logs/offdiag/mm_from_stereo/stereo_95ms__static_100_sweep_95.json
static_100_sweep_100,mm,100,stereo,100,918000000,logs/offdiag/mm_from_stereo/mm_100ms__static_100_sweep_100.json,logs/offdiag/mm_from_stereo/stereo_100ms__static_100_sweep_100.json
