task_id=0 response_ms=42.9575 kernel_plus_memory_ms=42.7441 kernel_only_ms=18.516 h2d_ms=11.36 d2h_ms=12.8681
task_id=1 response_ms=41.7126 kernel_plus_memory_ms=41.5642 kernel_only_ms=18.0511 h2d_ms=11.6847 d2h_ms=11.8284
task_id=2 response_ms=41.8234 kernel_plus_memory_ms=41.6872 kernel_only_ms=18.0402 h2d_ms=11.8529 d2h_ms=11.7941
task_id=3 response_ms=42.3265 kernel_plus_memory_ms=42.1778 kernel_only_ms=18.0418 h2d_ms=12.1543 d2h_ms=11.9817
task_id=4 response_ms=42.16 kernel_plus_memory_ms=42.0083 kernel_only_ms=18.0425 h2d_ms=11.8864 d2h_ms=12.0794
task_id=5 response_ms=41.6472 kernel_plus_memory_ms=41.4923 kernel_only_ms=18.0509 h2d_ms=11.6665 d2h_ms=11.7749
task_id=6 response_ms=42.2269 kernel_plus_memory_ms=42.0916 kernel_only_ms=18.0372 h2d_ms=12.09 d2h_ms=11.9644
task_id=7 response_ms=42.1114 kernel_plus_memory_ms=41.9664 kernel_only_ms=18.0547 h2d_ms=12.0655 d2h_ms=11.8462
task_id=8 response_ms=42.9768 kernel_plus_memory_ms=42.8178 kernel_only_ms=18.0471 h2d_ms=12.4376 d2h_ms=12.3331
task_id=9 response_ms=41.5259 kernel_plus_memory_ms=41.3865 kernel_only_ms=18.0399 h2d_ms=11.5326 d2h_ms=11.814
task_id=10 response_ms=41.8432 kernel_plus_memory_ms=41.7185 kernel_only_ms=18.0437 h2d_ms=11.6398 d2h_ms=12.035
task_id=11 response_ms=41.6355 kernel_plus_memory_ms=41.4824 kernel_only_ms=18.0458 h2d_ms=11.6373 d2h_ms=11.7993
task_id=12 response_ms=41.7212 kernel_plus_memory_ms=41.5659 kernel_only_ms=18.0382 h2d_ms=11.7149 d2h_ms=11.8128
task_id=13 response_ms=42.563 kernel_plus_memory_ms=42.283 kernel_only_ms=18.0437 h2d_ms=12.0743 d2h_ms=12.165
task_id=14 response_ms=42.9116 kernel_plus_memory_ms=42.7711 kernel_only_ms=18.0671 h2d_ms=12.1533 d2h_ms=12.5506
task_id=15 response_ms=41.6103 kernel_plus_memory_ms=41.4672 kernel_only_ms=18.0409 h2d_ms=11.6412 d2h_ms=11.7852
task_id=16 response_ms=42.459 kernel_plus_memory_ms=42.3052 kernel_only_ms=18.0417 h2d_ms=12.0401 d2h_ms=12.2234
task_id=17 response_ms=42.134 kernel_plus_memory_ms=41.9878 kernel_only_ms=18.0417 h2d_ms=12.1314 d2h_ms=11.8147
task_id=18 response_ms=41.5376 kernel_plus_memory_ms=41.3973 kernel_only_ms=18.0619 h2d_ms=11.5789 d2h_ms=11.7565
task_id=19 response_ms=42.3505 kernel_plus_memory_ms=42.2103 kernel_only_ms=18.0435 h2d_ms=12.0098 d2h_ms=12.157
task_id=20 response_ms=41.9668 kernel_plus_memory_ms=41.8227 kernel_only_ms=18.0418 h2d_ms=11.9737 d2h_ms=11.8071
task_id=21 response_ms=42.109 kernel_plus_memory_ms=41.9439 kernel_only_ms=18.0407 h2d_ms=12.1002 d2h_ms=11.803
task_id=22 response_ms=41.4038 kernel_plus_memory_ms=41.2569 kernel_only_ms=18.061 h2d_ms=11.386 d2h_ms=11.8099
task_id=23 response_ms=41.544 kernel_plus_memory_ms=41.4113 kernel_only_ms=18.0625 h2d_ms=11.5759 d2h_ms=11.7729
task_id=24 response_ms=41.5931 kernel_plus_memory_ms=41.4429 kernel_only_ms=18.0426 h2d_ms=11.5897 d2h_ms=11.8106
task_id=25 response_ms=42.0355 kernel_plus_memory_ms=41.8835 kernel_only_ms=18.0467 h2d_ms=12.0391 d2h_ms=11.7976
