task_id=0 response_ms=34.8321 kernel_plus_memory_ms=34.3402 kernel_only_ms=27.9507 h2d_ms=2.70016 d2h_ms=3.68931
task_id=1 response_ms=33.2956 kernel_plus_memory_ms=33.1404 kernel_only_ms=27.4612 h2d_ms=2.72778 d2h_ms=2.95149
task_id=2 response_ms=33.2231 kernel_plus_memory_ms=33.0827 kernel_only_ms=27.4536 h2d_ms=2.82605 d2h_ms=2.80304
task_id=3 response_ms=33.1211 kernel_plus_memory_ms=32.9865 kernel_only_ms=27.5254 h2d_ms=2.64266 d2h_ms=2.8184
task_id=4 response_ms=32.9908 kernel_plus_memory_ms=32.8659 kernel_only_ms=27.4779 h2d_ms=2.58589 d2h_ms=2.80211
task_id=5 response_ms=32.9579 kernel_plus_memory_ms=32.8482 kernel_only_ms=27.454 h2d_ms=2.58525 d2h_ms=2.80893
task_id=6 response_ms=32.9495 kernel_plus_memory_ms=32.8326 kernel_only_ms=27.4573 h2d_ms=2.59267 d2h_ms=2.78266
task_id=7 response_ms=32.9856 kernel_plus_memory_ms=32.8611 kernel_only_ms=27.4505 h2d_ms=2.6112 d2h_ms=2.79939
task_id=8 response_ms=32.9841 kernel_plus_memory_ms=32.8536 kernel_only_ms=27.4742 h2d_ms=2.59978 d2h_ms=2.77958
task_id=9 response_ms=32.9338 kernel_plus_memory_ms=32.804 kernel_only_ms=27.4565 h2d_ms=2.50266 d2h_ms=2.84486
task_id=10 response_ms=32.9502 kernel_plus_memory_ms=32.84 kernel_only_ms=27.4554 h2d_ms=2.55594 d2h_ms=2.82864
task_id=11 response_ms=32.9813 kernel_plus_memory_ms=32.8619 kernel_only_ms=27.4454 h2d_ms=2.58083 d2h_ms=2.83568
task_id=12 response_ms=32.9503 kernel_plus_memory_ms=32.8141 kernel_only_ms=27.4797 h2d_ms=2.54714 d2h_ms=2.78726
task_id=13 response_ms=33.0365 kernel_plus_memory_ms=32.9036 kernel_only_ms=27.4399 h2d_ms=2.68144 d2h_ms=2.78227
task_id=14 response_ms=32.9482 kernel_plus_memory_ms=32.8118 kernel_only_ms=27.4529 h2d_ms=2.52797 d2h_ms=2.83098
task_id=15 response_ms=32.9372 kernel_plus_memory_ms=32.8185 kernel_only_ms=27.4442 h2d_ms=2.56538 d2h_ms=2.80896
task_id=16 response_ms=32.9443 kernel_plus_memory_ms=32.817 kernel_only_ms=27.4495 h2d_ms=2.61498 d2h_ms=2.75254
task_id=17 response_ms=32.9817 kernel_plus_memory_ms=32.8387 kernel_only_ms=27.4471 h2d_ms=2.62618 d2h_ms=2.76544
task_id=18 response_ms=32.8777 kernel_plus_memory_ms=32.7368 kernel_only_ms=27.4538 h2d_ms=2.52282 d2h_ms=2.76019
task_id=19 response_ms=32.9369 kernel_plus_memory_ms=32.8075 kernel_only_ms=27.4561 h2d_ms=2.59331 d2h_ms=2.75805
task_id=20 response_ms=32.9252 kernel_plus_memory_ms=32.7897 kernel_only_ms=27.461 h2d_ms=2.57917 d2h_ms=2.74957
