window_end_ms,freq_mhz,avg_response_ms,power_w,temp_c,num_completed
0.186919,408,-1,5.462,49.656,0
127.014,408,58.7621,5.63,49.562,1
254.809,408,58.0079,5.71,49.875,2
384.669,408,57.9516,5.68,49.5,1
512.27,408,57.9769,5.76,49.625,1
639.028,408,57.9363,5.84,49.531,2
767.269,408,57.9134,5.809,49.593,1
895.875,408,57.9836,5.809,49.843,1
1023.7,408,57.9401,5.849,49.531,1
1149.83,408,57.9064,5.889,49.531,2
1278.19,408,57.9085,5.849,49.812,1
1405.21,408,57.9218,5.849,49.562,1
1532.89,408,57.9496,5.889,49.718,1
1659.14,408,57.9025,5.889,49.843,2
1787.94,408,57.898,5.809,49.593,1
1915.33,408,57.9455,5.849,49.593,1
2042.81,408,57.9214,5.929,49.906,2
2170.64,408,57.9013,5.849,49.562,1
2299.55,408,57.9597,5.849,49.75,1
2426.48,408,57.9324,5.889,49.531,1
2553.25,408,57.9504,5.929,49.562,2
2680.8,408,57.9368,5.849,49.75,1
2809.79,408,57.9243,5.849,49.562,1
2937.25,408,57.9459,5.889,49.656,1
3063.3,408,57.9236,5.889,49.875,2
3191.73,408,57.9567,5.809,49.468,1
3318.79,408,57.925,5.889,49.625,1
3445.42,408,57.9153,5.929,49.687,2
3572.77,408,57.9052,5.849,49.625,1
3701.69,408,57.986,5.849,49.687,1
3829.12,408,57.952,5.889,49.718,1
3955.16,408,57.9139,5.889,49.656,2
4083.1,408,57.9224,5.849,49.531,1
4210.69,408,57.9284,5.849,49.531,1
4338.05,408,57.9335,5.889,49.562,1
4465.42,408,57.9231,5.889,49.75,2
4594.02,408,57.945,5.809,49.531,1
4724.77,408,57.9813,5.889,49.75,1
4851.33,408,57.9234,5.929,49.875,2
4978.92,408,57.9067,5.849,49.656,1
5107.17,408,57.9746,5.849,49.593,1
5236.35,408,57.9813,5.889,49.593,1
5362.52,408,57.9644,5.889,49.625,2
5489.9,408,57.9374,5.809,49.75,1
5617.93,408,57.9348,5.849,49.625,1
5745.16,408,57.8934,5.929,49.718,2
5871.75,408,57.9312,5.889,49.75,1
6000.52,408,57.9253,5.849,49.656,1
6128.78,408,57.9189,5.889,49.687,1
6254.99,408,57.9206,5.929,49.843,2
6382.44,408,57.9043,5.849,49.656,1
6510.32,408,57.9421,5.849,49.656,1
6637.44,408,57.9531,5.889,49.875,1
6763.71,408,58.0242,5.889,49.562,2
6891.26,408,57.9696,5.849,49.75,1
7019.61,408,57.9123,5.849,49.875,1
7146.48,408,57.8978,5.929,49.625,2
7273.08,408,57.897,5.889,49.75,1
7402.74,408,57.9093,5.809,49.906,1
7529.5,408,57.9198,5.889,49.5,1
7655.75,408,57.8982,5.929,49.812,2
7783.47,408,57.9259,5.849,49.593,1
7912.47,408,57.9568,5.849,49.656,1
8039.71,408,58.0687,5.889,49.781,1
8165.97,408,57.9693,5.889,49.625,2
8294.85,408,57.9535,5.849,49.75,1
8422.14,408,57.927,5.849,49.812,1
8549.19,408,57.9486,5.929,49.562,2
8675.59,408,57.9076,5.889,49.75,1
8804.52,408,57.9234,5.849,49.531,1
8935.31,408,57.9477,5.889,49.75,1
9061.92,408,57.9276,5.929,49.656,2
9190.28,408,57.9028,5.849,49.593,1
9318.4,408,57.9348,5.849,49.562,1
9445.74,408,57.888,5.889,49.562,1
9573.78,408,57.9109,5.889,49.593,2
9706.36,408,57.9171,5.809,49.593,1
9834.15,408,57.9374,5.889,49.75,1
9960.25,408,57.9279,5.929,49.937,2
10087.4,408,57.9423,5.849,49.687,1
10214.3,408,57.9516,5.849,49.718,1
10341.7,408,57.92,5.889,49.562,1
10467.6,408,57.9132,5.889,49.437,2
10596.1,408,57.9136,5.809,49.718,1
10724.9,408,57.9501,5.849,49.437,1
10851.9,408,57.9312,5.889,49.593,2
10978.3,408,57.919,5.889,49.75,1
11107.8,408,57.9309,5.809,49.656,1
11235.6,408,57.9551,5.889,49.718,1
11362.5,408,57.9089,5.929,49.812,2
11489.8,408,57.9095,5.849,49.593,1
11618.2,408,57.9588,5.849,49.593,1
11748.5,408,57.9598,5.889,49.593,1
11874.7,408,57.9459,5.889,49.531,2
12004.6,408,57.9502,5.809,49.5,1
12133.4,408,57.9179,5.849,49.781,1
12259.9,408,57.8884,5.929,49.5,2
12386.4,408,57.9077,5.889,49.531,1
12514.6,408,57.9223,5.849,49.593,1
12641.9,408,57.9246,5.889,49.531,1
12769,408,57.9221,5.929,49.593,2
12896.1,408,57.9297,5.849,49.593,1
13023.9,408,57.9152,5.849,49.531,1
13151.3,408,57.8769,5.929,49.593,1
13278.2,408,57.9024,5.889,49.5,2
13408.1,408,57.8865,5.809,49.531,1
13535.3,408,57.9484,5.889,49.625,1
13662.1,408,57.926,5.929,49.531,2
13789.8,408,57.9192,5.849,49.5,1
13917.9,408,57.9477,5.849,49.781,1
14045.4,408,57.9443,5.889,49.562,1
14171.9,408,57.9143,5.929,49.531,2
14301,408,57.9341,5.849,49.406,1
14427.9,408,57.9389,5.849,49.437,1
14555.5,408,57.9023,5.889,49.593,1
14682.2,408,57.919,5.889,49.437,2
14810.2,408,57.9153,5.809,49.531,1
14937,408,57.9498,5.889,49.593,1
15064.2,408,57.9156,5.929,49.593,2
15191.4,408,57.9169,5.889,49.5,1
15320,408,57.9523,5.849,49.562,1
15446.9,408,57.9441,5.889,49.656,1
15573.8,408,57.9612,5.929,49.5,2
15702,408,57.953,5.849,49.562,1
15830.5,408,58.0015,5.849,49.468,1
15957.5,408,57.929,5.889,49.562,1
16083.6,408,57.881,5.889,49.562,2
16212.6,408,57.983,5.849,49.437,1
16339.6,408,57.9237,5.889,49.531,1
16466.2,408,57.9178,5.929,49.656,2
16593.7,408,57.9152,5.889,49.468,1
16721.7,408,57.959,5.849,49.5,1
16848.8,408,57.9151,5.889,49.656,1
16975,408,57.8889,5.929,49.718,2
17102.1,408,57.8957,5.849,49.718,1
17229.1,408,57.9377,5.849,49.593,1
17356.5,408,57.9127,5.889,49.75,1
17483.3,408,57.9213,5.889,49.375,2
17612.1,408,57.9304,5.809,49.562,1
17740.5,408,57.9258,5.849,49.781,1
17867.4,408,57.9234,5.929,49.375,2
17994.3,408,57.9419,5.849,49.625,1
18122.7,408,57.9273,5.849,49.781,1
18249.7,408,57.9376,5.889,49.468,1
18376.6,408,57.8978,5.929,49.687,2
18504.1,408,57.9112,5.849,49.812,1
18632.5,408,57.9344,5.849,49.625,1
18759.2,408,57.8834,5.889,49.75,1
18885.8,408,57.9121,5.889,49.812,2
19013.4,408,57.9284,5.809,49.562,1
19142.2,408,58.0165,5.849,49.75,1
19269.1,408,57.9165,5.929,49.562,2
19396.2,408,57.9301,5.849,49.562,1
19525.1,408,57.9292,5.809,49.562,1
19653.8,408,57.9596,5.889,49.593,1
19779.9,408,57.9261,5.929,49.593,2
19907.8,408,57.913,5.849,49.531,1
20036.2,408,57.944,5.849,49.625,1
20163.6,408,57.918,5.889,49.75,1
20290.9,408,57.9248,5.889,49.5,2
20419.8,408,57.9257,5.809,49.593,1
20547.2,408,57.9359,5.849,49.75,1
20673.9,408,57.9808,5.929,49.531,2
20801.8,408,57.9398,5.849,49.593,1
20930.5,408,57.9555,5.809,49.468,1
21058.1,408,57.9535,5.889,49.531,1
21184.5,408,57.941,5.929,49.625,2
21312.5,408,57.9289,5.849,49.5,1
21441.1,408,57.9275,5.849,49.625,1
21568.3,408,57.938,5.929,49.687,1
21695,408,57.9148,5.889,49.468,2
21824,408,57.9328,5.809,49.468,1
21951.6,408,57.9014,5.889,49.531,1
22080.9,408,57.8982,5.929,49.593,2
22207.7,408,57.9183,5.849,49.375,1
22336.3,408,57.9653,5.849,49.531,1
22463.6,408,58.4322,5.889,49.593,1
22590,408,58.0092,5.929,49.375,2
22717.5,408,57.9564,5.849,49.5,1
22844.1,408,57.9724,5.849,49.593,1
22971,408,57.9401,5.929,49.437,2
23099.1,408,57.9301,5.889,49.468,1
23228.6,408,57.9181,5.849,49.406,1
23356.7,408,57.9253,5.889,49.5,1
23483.2,408,57.9163,5.929,49.562,2
23610.7,408,57.8984,5.849,49.406,1
23739.1,408,57.929,5.849,49.625,1
23867.2,408,57.9048,5.889,49.812,1
23993.8,408,57.923,5.889,49.437,2
24122,408,57.9208,5.809,49.625,1
24253.2,408,57.9187,5.889,49.593,1
24379.7,408,57.9178,5.929,49.656,2
24506.7,408,57.9121,5.849,49.718,1
24634.8,408,57.9221,5.849,49.5,1
24762.3,408,57.9312,5.889,49.687,1
24888.9,408,57.8949,5.929,49.75,2
25016.3,408,57.9288,5.809,49.437,1
25147.1,408,57.9817,5.849,49.562,1
25274,408,57.9228,5.929,49.5,1
25400.5,408,57.8846,5.889,49.625,2
25528.8,408,57.9246,5.849,49.437,1
25657.2,408,58.0504,5.889,49.562,1
25783.4,408,57.8972,5.929,49.656,2
25911.4,408,57.9034,5.889,49.625,1
26038.3,408,57.9614,5.849,49.531,1
26165,408,57.9351,5.889,49.656,1
26291.3,408,57.92,5.929,49.75,2
26419.7,408,57.911,5.849,49.5,1
26547.7,408,57.9302,5.849,49.562,1
26675.3,408,57.9206,5.929,49.781,1
26802.1,408,57.9098,5.889,49.531,2
26932.4,408,57.9263,5.809,49.531,1
27060.3,408,57.9465,5.849,49.531,1
27187,408,57.9521,5.929,49.468,2
27314.8,408,57.8987,5.849,49.593,1
27441.9,408,57.9273,5.849,49.5,1
27568.9,408,57.9071,5.889,49.656,1
27695.2,408,57.9067,5.929,49.656,2
27823.1,408,57.912,5.849,49.437,1
27951.2,408,58.0287,5.849,49.531,1
28078.5,408,57.8976,5.889,49.75,1
28205.3,408,57.8874,5.889,49.5,2
28333.4,408,57.923,5.809,49.562,1
28461.2,408,57.9309,5.849,49.656,1
28587.6,408,57.924,5.929,49.812,2
28714.6,408,57.9067,5.849,49.562,1
28843.6,408,57.9201,5.849,49.75,1
28970.8,408,57.9019,5.889,49.5,1
29097,408,57.8929,5.929,49.656,2
29224.4,408,57.9097,5.849,49.718,1
29352.4,408,57.983,5.849,49.562,1
29479.8,408,57.9186,5.889,49.718,1
29606.3,408,57.9124,5.889,49.75,2
29735.8,408,57.9125,5.809,49.531,1
29864,408,57.9274,5.849,49.656,1
29991.1,408,57.8875,5.929,49.406,2
30118.9,408,57.8975,5.849,49.5,1
30246.2,408,57.944,5.849,49.656,1
30373.7,408,57.9218,5.889,49.593,1
30502,408,57.922,5.929,49.343,2
30631.1,408,57.892,5.849,49.406,1
30760.2,408,57.9523,5.849,49.75,1
30887.4,408,57.988,5.929,49.468,2
31014.1,408,57.9217,5.889,49.406,1
31142.4,408,57.9297,5.809,49.437,1
31269.4,408,57.9315,5.889,49.468,1
31396.6,408,57.9409,5.929,49.5,2
31523.8,408,57.9201,5.849,49.625,1
31651.3,408,57.9554,5.849,49.437,1
31781.1,408,57.9246,5.889,49.531,1
31907.6,408,57.8823,5.889,49.343,2
32035.5,408,57.9225,5.809,49.437,1
32162.5,408,57.9378,5.849,49.562,1
32289.3,408,57.9062,5.929,49.562,2
32416.4,408,57.9049,5.889,49.468,1
32544.5,408,57.9196,5.849,49.5,1
32671.8,408,57.9326,5.889,49.656,1
32797.9,408,57.9038,5.929,49.437,2
32925.8,408,57.9064,5.849,49.437,1
33053.6,408,57.9502,5.849,49.468,1
33181.9,408,58.0373,5.889,49.531,1
33308.5,408,57.9908,5.929,49.375,2
33437.1,408,57.9601,5.849,49.406,1
33565.2,408,57.9503,5.889,49.468,1
33692.2,408,57.9151,5.929,49.562,2
33819,408,57.904,5.889,49.468,1
33948,408,57.9207,5.849,49.5,1
34075.2,408,57.9308,5.889,49.5,1
34201.9,408,57.9144,5.929,49.437,2
34329.3,408,57.9132,5.849,49.531,1
34456.5,408,57.9436,5.849,49.625,1
34583.5,408,57.9852,5.889,49.468,1
34710.3,408,57.9272,5.889,49.562,2
34838,408,57.9203,5.849,49.625,1
34966.1,408,57.902,5.849,49.562,1
35093.1,408,57.9299,5.929,49.593,2
35219.7,408,57.9168,5.889,49.375,1
35348.4,408,57.9229,5.849,49.531,1
35476.9,408,57.8865,5.889,49.687,1
35603.7,408,57.8898,5.929,49.468,2
35732,408,57.8947,5.849,49.5,1
35859.2,408,57.9568,5.849,49.437,1
35988,408,57.9519,5.889,49.468,1
36114.5,408,57.9699,5.889,49.75,2
36243.5,408,57.9468,5.849,49.343,1
36372.6,408,57.9457,5.889,49.562,1
36499.3,408,57.9378,5.929,49.437,2
36626.9,408,57.8983,5.889,49.593,1
36756.5,408,57.8928,5.849,49.718,1
36883.9,408,57.9152,5.889,49.406,1
37010,408,57.9061,5.929,49.593,2
37139.2,408,57.909,5.849,49.687,1
37267.8,408,57.9175,5.849,49.562,1
37395.7,408,57.8854,5.929,49.718,2
37523.1,408,57.9065,5.889,49.468,1
37651.7,408,57.9161,5.849,49.5,1
37778.5,408,57.9101,5.889,49.718,1
37904.9,408,57.9122,5.929,49.781,2
38032.3,408,57.9089,5.849,49.5,1
38162,408,57.9188,5.849,49.437,1
38289,408,57.9375,5.889,49.468,1
38417.5,408,57.9889,5.889,49.406,2
38548,408,57.915,5.809,49.656,1
38676.8,408,57.968,5.849,49.843,1
38803.9,408,57.9096,5.929,49.593,2
38931.2,408,57.9074,5.889,49.656,1
39060.1,408,57.9433,5.849,49.5,1
39187.9,408,57.9391,5.889,49.656,1
39314.2,408,57.9267,5.929,49.75,2
39442.3,408,57.9296,5.849,49.468,1
39570.8,408,57.8954,5.849,49.625,1
39698.3,408,57.9293,5.929,49.718,1
39825.2,408,57.8939,5.889,49.531,2
39953,408,57.9034,5.809,49.656,1
40080.8,408,58.0481,5.889,49.75,1
40207.6,408,57.9175,5.929,49.531,2
40335,408,57.9123,5.849,49.593,1
40463.3,408,57.926,5.849,49.531,1
40592,408,57.9512,5.889,49.625,1
40718.9,408,57.9493,5.929,49.687,2
40846.4,408,57.9142,5.849,49.437,1
40974.6,408,57.9241,5.849,49.687,1
41102.5,408,57.9026,5.929,49.437,2
41229.5,408,57.9048,5.889,49.375,1
41359.4,408,57.936,5.809,49.406,1
41486.1,408,57.9034,5.889,49.562,1
41612.9,408,57.901,5.929,49.625,2
41740.7,408,57.9134,5.849,49.468,1
41868,408,57.9778,5.849,49.468,1
41994.7,408,57.9016,5.889,49.656,1
42121.2,408,57.9027,5.889,49.437,2
42249.9,408,57.8991,5.849,49.468,1
42378.3,408,58.0569,5.849,49.625,1
42505.7,408,57.892,5.889,49.5,2
42632.3,408,57.9039,5.889,49.5,1
42761.9,408,57.9327,5.809,49.437,1
42888.7,408,57.9125,5.889,49.562,1
43015.3,408,57.9191,5.929,49.593,2
43143,408,57.9128,5.849,49.562,1
43270,408,57.9322,5.849,49.5,1
43396.9,408,57.923,5.889,49.562,1
43523.4,408,57.9291,5.889,49.625,2
43651.3,408,57.9048,5.849,49.718,1
43778.6,408,57.9223,5.849,49.625,1
43905.9,408,57.8988,5.929,49.75,2
44033.2,408,57.8743,5.889,49.437,1
44161.5,408,57.9117,5.809,49.593,1
44290.4,408,57.9206,5.889,49.718,1
44417.2,408,57.8883,5.929,49.531,2
44544,408,57.9231,5.849,49.593,1
44672.2,408,57.9405,5.849,49.75,1
44799.7,408,57.9525,5.889,49.531,1
44926.3,408,57.978,5.889,49.562,2
45055.2,408,57.9332,5.809,49.5,1
45182.5,408,57.9241,5.849,49.625,1
45309.5,408,57.9205,5.929,49.687,2
45436.5,408,57.9133,5.889,49.75,1
45564.5,408,57.9278,5.809,49.468,1
45692.9,408,57.9138,5.889,49.718,1
45819.3,408,57.9094,5.929,49.5,2
45947,408,57.9242,5.849,49.593,1
46074.1,408,57.9862,5.849,49.75,1
