task_id=0 response_ms=37.1946 kernel_plus_memory_ms=36.8786 kernel_only_ms=33.1368 h2d_ms=1.48496 d2h_ms=2.2569
task_id=1 response_ms=35.2203 kernel_plus_memory_ms=35.0803 kernel_only_ms=32.4487 h2d_ms=1.25059 d2h_ms=1.38093
task_id=2 response_ms=35.3537 kernel_plus_memory_ms=35.2155 kernel_only_ms=32.4204 h2d_ms=1.29178 d2h_ms=1.5033
task_id=3 response_ms=35.1162 kernel_plus_memory_ms=34.9967 kernel_only_ms=32.4485 h2d_ms=1.21008 d2h_ms=1.33811
task_id=4 response_ms=35.0455 kernel_plus_memory_ms=34.9421 kernel_only_ms=32.4262 h2d_ms=1.17574 d2h_ms=1.3401
task_id=5 response_ms=35.1226 kernel_plus_memory_ms=34.9512 kernel_only_ms=32.4435 h2d_ms=1.16429 d2h_ms=1.34342
task_id=6 response_ms=35.0842 kernel_plus_memory_ms=34.9756 kernel_only_ms=32.449 h2d_ms=1.16192 d2h_ms=1.36467
task_id=7 response_ms=35.0088 kernel_plus_memory_ms=34.8921 kernel_only_ms=32.4383 h2d_ms=1.11997 d2h_ms=1.33382
task_id=8 response_ms=34.9919 kernel_plus_memory_ms=34.8953 kernel_only_ms=32.4052 h2d_ms=1.15542 d2h_ms=1.33459
task_id=9 response_ms=35.0521 kernel_plus_memory_ms=34.9431 kernel_only_ms=32.4915 h2d_ms=1.10768 d2h_ms=1.34394
task_id=10 response_ms=35.0325 kernel_plus_memory_ms=34.9092 kernel_only_ms=32.4329 h2d_ms=1.14317 d2h_ms=1.33318
task_id=11 response_ms=34.9756 kernel_plus_memory_ms=34.8546 kernel_only_ms=32.4358 h2d_ms=1.06726 d2h_ms=1.35155
task_id=12 response_ms=35.0277 kernel_plus_memory_ms=34.9007 kernel_only_ms=32.4186 h2d_ms=1.13946 d2h_ms=1.34266
task_id=13 response_ms=35.0071 kernel_plus_memory_ms=34.9034 kernel_only_ms=32.4487 h2d_ms=1.09306 d2h_ms=1.3616
task_id=14 response_ms=35.0554 kernel_plus_memory_ms=34.9316 kernel_only_ms=32.459 h2d_ms=1.14058 d2h_ms=1.33206
task_id=15 response_ms=34.9831 kernel_plus_memory_ms=34.8825 kernel_only_ms=32.4333 h2d_ms=1.08269 d2h_ms=1.3665
task_id=16 response_ms=35.2769 kernel_plus_memory_ms=35.1351 kernel_only_ms=32.5317 h2d_ms=1.21526 d2h_ms=1.38819
task_id=17 response_ms=35.0144 kernel_plus_memory_ms=34.9054 kernel_only_ms=32.4276 h2d_ms=1.1103 d2h_ms=1.36752
task_id=18 response_ms=35.0517 kernel_plus_memory_ms=34.9389 kernel_only_ms=32.4774 h2d_ms=1.08576 d2h_ms=1.37568
task_id=19 response_ms=34.9962 kernel_plus_memory_ms=34.8811 kernel_only_ms=32.4195 h2d_ms=1.10864 d2h_ms=1.35299
task_id=20 response_ms=35.0232 kernel_plus_memory_ms=34.91 kernel_only_ms=32.4433 h2d_ms=1.0913 d2h_ms=1.37546
task_id=21 response_ms=35.0493 kernel_plus_memory_ms=34.9169 kernel_only_ms=32.4283 h2d_ms=1.1248 d2h_ms=1.36381
task_id=22 response_ms=35.0193 kernel_plus_memory_ms=34.9069 kernel_only_ms=32.4599 h2d_ms=1.11248 d2h_ms=1.33453
task_id=23 response_ms=35.1016 kernel_plus_memory_ms=34.955 kernel_only_ms=32.4375 h2d_ms=1.16378 d2h_ms=1.35379
task_id=24 response_ms=35.0261 kernel_plus_memory_ms=34.9066 kernel_only_ms=32.436 h2d_ms=1.12192 d2h_ms=1.3487
task_id=25 response_ms=34.9955 kernel_plus_memory_ms=34.8742 kernel_only_ms=32.4263 h2d_ms=1.07722 d2h_ms=1.37069
task_id=26 response_ms=35.0245 kernel_plus_memory_ms=34.8872 kernel_only_ms=32.4321 h2d_ms=1.10029 d2h_ms=1.35482
task_id=27 response_ms=35.0247 kernel_plus_memory_ms=34.9105 kernel_only_ms=32.4385 h2d_ms=1.09869 d2h_ms=1.37334
task_id=28 response_ms=35.0329 kernel_plus_memory_ms=34.9034 kernel_only_ms=32.402 h2d_ms=1.15574 d2h_ms=1.3456
task_id=29 response_ms=34.9373 kernel_plus_memory_ms=34.8241 kernel_only_ms=32.3995 h2d_ms=1.0799 d2h_ms=1.3447
task_id=30 response_ms=35.0019 kernel_plus_memory_ms=34.8773 kernel_only_ms=32.3975 h2d_ms=1.14064 d2h_ms=1.33914
task_id=31 response_ms=34.9718 kernel_plus_memory_ms=34.8628 kernel_only_ms=32.4367 h2d_ms=1.09219 d2h_ms=1.33395
task_id=32 response_ms=35.1678 kernel_plus_memory_ms=35.0296 kernel_only_ms=32.4322 h2d_ms=1.25318 d2h_ms=1.34419
task_id=33 response_ms=34.9813 kernel_plus_memory_ms=34.8439 kernel_only_ms=32.4062 h2d_ms=1.09901 d2h_ms=1.33866
task_id=34 response_ms=35.0261 kernel_plus_memory_ms=34.9091 kernel_only_ms=32.4237 h2d_ms=1.08147 d2h_ms=1.40384
task_id=35 response_ms=34.986 kernel_plus_memory_ms=34.8674 kernel_only_ms=32.4244 h2d_ms=1.08189 d2h_ms=1.36109
task_id=36 response_ms=35.0004 kernel_plus_memory_ms=34.883 kernel_only_ms=32.4425 h2d_ms=1.084 d2h_ms=1.35654
task_id=37 response_ms=35.0365 kernel_plus_memory_ms=34.9173 kernel_only_ms=32.4252 h2d_ms=1.13712 d2h_ms=1.35494
task_id=38 response_ms=34.9753 kernel_plus_memory_ms=34.8734 kernel_only_ms=32.438 h2d_ms=1.09053 d2h_ms=1.3449
task_id=39 response_ms=35.0301 kernel_plus_memory_ms=34.8803 kernel_only_ms=32.432 h2d_ms=1.09936 d2h_ms=1.34893
task_id=40 response_ms=35.0164 kernel_plus_memory_ms=34.9036 kernel_only_ms=32.4327 h2d_ms=1.12848 d2h_ms=1.34243
task_id=41 response_ms=35.0836 kernel_plus_memory_ms=34.9594 kernel_only_ms=32.4389 h2d_ms=1.1504 d2h_ms=1.37008
task_id=42 response_ms=35.0069 kernel_plus_memory_ms=34.9096 kernel_only_ms=32.4474 h2d_ms=1.11773 d2h_ms=1.34445
task_id=43 response_ms=35.0095 kernel_plus_memory_ms=34.8896 kernel_only_ms=32.418 h2d_ms=1.11808 d2h_ms=1.35354
task_id=44 response_ms=35.0882 kernel_plus_memory_ms=34.9749 kernel_only_ms=32.4536 h2d_ms=1.17997 d2h_ms=1.34134
task_id=45 response_ms=34.9779 kernel_plus_memory_ms=34.8692 kernel_only_ms=32.4299 h2d_ms=1.1057 d2h_ms=1.3337
task_id=46 response_ms=35.0702 kernel_plus_memory_ms=34.9358 kernel_only_ms=32.4531 h2d_ms=1.13027 d2h_ms=1.35238
task_id=47 response_ms=35.0056 kernel_plus_memory_ms=34.8787 kernel_only_ms=32.4399 h2d_ms=1.0929 d2h_ms=1.34595
task_id=48 response_ms=35.0101 kernel_plus_memory_ms=34.8867 kernel_only_ms=32.4403 h2d_ms=1.0697 d2h_ms=1.37667
task_id=49 response_ms=34.98 kernel_plus_memory_ms=34.8784 kernel_only_ms=32.4179 h2d_ms=1.09987 d2h_ms=1.36064
task_id=50 response_ms=35.0282 kernel_plus_memory_ms=34.9183 kernel_only_ms=32.4407 h2d_ms=1.07306 d2h_ms=1.40448
task_id=51 response_ms=34.9909 kernel_plus_memory_ms=34.8756 kernel_only_ms=32.447 h2d_ms=1.10122 d2h_ms=1.32746
task_id=52 response_ms=35.0819 kernel_plus_memory_ms=34.9423 kernel_only_ms=32.4722 h2d_ms=1.08832 d2h_ms=1.38182
task_id=53 response_ms=35.0062 kernel_plus_memory_ms=34.8747 kernel_only_ms=32.4443 h2d_ms=1.06858 d2h_ms=1.36179
task_id=54 response_ms=34.9814 kernel_plus_memory_ms=34.8746 kernel_only_ms=32.4516 h2d_ms=1.07763 d2h_ms=1.34528
task_id=55 response_ms=35.0511 kernel_plus_memory_ms=34.926 kernel_only_ms=32.4507 h2d_ms=1.10333 d2h_ms=1.37197
task_id=56 response_ms=35.07 kernel_plus_memory_ms=34.936 kernel_only_ms=32.4355 h2d_ms=1.12915 d2h_ms=1.37136
task_id=57 response_ms=35.1076 kernel_plus_memory_ms=34.9773 kernel_only_ms=32.54 h2d_ms=1.08154 d2h_ms=1.35574
task_id=58 response_ms=35.0047 kernel_plus_memory_ms=34.8971 kernel_only_ms=32.4256 h2d_ms=1.12909 d2h_ms=1.34237
task_id=59 response_ms=35.0133 kernel_plus_memory_ms=34.8787 kernel_only_ms=32.4316 h2d_ms=1.08214 d2h_ms=1.36493
task_id=60 response_ms=34.9841 kernel_plus_memory_ms=34.8703 kernel_only_ms=32.4127 h2d_ms=1.11203 d2h_ms=1.34554
task_id=61 response_ms=34.9704 kernel_plus_memory_ms=34.8559 kernel_only_ms=32.4457 h2d_ms=1.07162 d2h_ms=1.33856
task_id=62 response_ms=35.0116 kernel_plus_memory_ms=34.8817 kernel_only_ms=32.4188 h2d_ms=1.09222 d2h_ms=1.37066
task_id=63 response_ms=34.9929 kernel_plus_memory_ms=34.879 kernel_only_ms=32.4129 h2d_ms=1.1281 d2h_ms=1.33802
