task,num_points,intercept_ms,diagonal_coefficient_slope_ms_per_ms,r2,directory
bfs,5,42.01156999999999,0.0005030000000000712,0.0020164692334557754,logs/diag/bfs
hist,5,26.49116,0.0013280000000000314,0.8313898233493009,logs/diag/hist
mm,5,32.29271000000001,0.0008270000000000266,0.5008076728185178,logs/diag/mm
particle,5,40.18954,0.0003880000000000905,0.9108862965294375,logs/diag/particle
quasi,5,33.84907000000001,-0.004291000000000125,0.792817994287722,logs/diag/quasi
stereo,5,35.99084,0.0014800000000000325,0.4818013528447018,logs/diag/stereo
