task_id=0 response_ms=36.7512 kernel_plus_memory_ms=36.5289 kernel_only_ms=36.109 h2d_ms=0.112576 d2h_ms=0.307392
task_id=1 response_ms=36.2131 kernel_plus_memory_ms=36.1037 kernel_only_ms=35.8367 h2d_ms=0.126976 d2h_ms=0.140032
task_id=2 response_ms=36.2313 kernel_plus_memory_ms=36.1099 kernel_only_ms=35.841 h2d_ms=0.145664 d2h_ms=0.123232
task_id=3 response_ms=36.1811 kernel_plus_memory_ms=36.085 kernel_only_ms=35.8278 h2d_ms=0.132064 d2h_ms=0.125152
task_id=4 response_ms=36.0901 kernel_plus_memory_ms=35.993 kernel_only_ms=35.752 h2d_ms=0.112608 d2h_ms=0.128416
task_id=5 response_ms=36.0968 kernel_plus_memory_ms=36.0031 kernel_only_ms=35.7574 h2d_ms=0.116288 d2h_ms=0.129408
task_id=6 response_ms=36.0616 kernel_plus_memory_ms=35.9699 kernel_only_ms=35.7349 h2d_ms=0.113888 d2h_ms=0.121152
task_id=7 response_ms=36.2322 kernel_plus_memory_ms=36.1101 kernel_only_ms=35.8177 h2d_ms=0.132928 d2h_ms=0.159488
task_id=8 response_ms=36.2221 kernel_plus_memory_ms=36.114 kernel_only_ms=35.8006 h2d_ms=0.171808 d2h_ms=0.141536
task_id=9 response_ms=36.234 kernel_plus_memory_ms=36.0983 kernel_only_ms=35.8176 h2d_ms=0.134624 d2h_ms=0.14608
task_id=10 response_ms=36.2038 kernel_plus_memory_ms=36.0923 kernel_only_ms=35.811 h2d_ms=0.115904 d2h_ms=0.16544
task_id=11 response_ms=36.1766 kernel_plus_memory_ms=36.074 kernel_only_ms=35.8092 h2d_ms=0.133312 d2h_ms=0.13152
task_id=12 response_ms=36.1367 kernel_plus_memory_ms=36.04 kernel_only_ms=35.7921 h2d_ms=0.129024 d2h_ms=0.118944
task_id=13 response_ms=36.1341 kernel_plus_memory_ms=36.0211 kernel_only_ms=35.7482 h2d_ms=0.15632 d2h_ms=0.116512
task_id=14 response_ms=36.0752 kernel_plus_memory_ms=35.9758 kernel_only_ms=35.7195 h2d_ms=0.119584 d2h_ms=0.136736
task_id=15 response_ms=36.11 kernel_plus_memory_ms=35.9949 kernel_only_ms=35.7057 h2d_ms=0.118176 d2h_ms=0.171072
task_id=16 response_ms=36.0621 kernel_plus_memory_ms=35.9704 kernel_only_ms=35.7202 h2d_ms=0.125728 d2h_ms=0.124448
task_id=17 response_ms=36.1516 kernel_plus_memory_ms=36.0526 kernel_only_ms=35.7947 h2d_ms=0.140032 d2h_ms=0.117888
task_id=18 response_ms=36.2227 kernel_plus_memory_ms=36.0957 kernel_only_ms=35.803 h2d_ms=0.143776 d2h_ms=0.14896
task_id=19 response_ms=36.1267 kernel_plus_memory_ms=36.0026 kernel_only_ms=35.6956 h2d_ms=0.128128 d2h_ms=0.178784
task_id=20 response_ms=36.1565 kernel_plus_memory_ms=36.0495 kernel_only_ms=35.792 h2d_ms=0.110336 d2h_ms=0.147168
task_id=21 response_ms=36.1376 kernel_plus_memory_ms=36.0405 kernel_only_ms=35.7929 h2d_ms=0.123584 d2h_ms=0.124032
task_id=22 response_ms=36.1242 kernel_plus_memory_ms=36.0264 kernel_only_ms=35.7665 h2d_ms=0.129216 d2h_ms=0.130624
task_id=23 response_ms=36.1361 kernel_plus_memory_ms=36.0464 kernel_only_ms=35.8033 h2d_ms=0.116736 d2h_ms=0.126304
task_id=24 response_ms=36.1309 kernel_plus_memory_ms=36.0164 kernel_only_ms=35.7271 h2d_ms=0.152256 d2h_ms=0.137088
task_id=25 response_ms=36.1355 kernel_plus_memory_ms=36.0441 kernel_only_ms=35.8041 h2d_ms=0.12048 d2h_ms=0.119456
task_id=26 response_ms=36.0945 kernel_plus_memory_ms=35.9922 kernel_only_ms=35.7383 h2d_ms=0.127328 d2h_ms=0.12656
task_id=27 response_ms=36.1435 kernel_plus_memory_ms=36.0191 kernel_only_ms=35.7301 h2d_ms=0.165952 d2h_ms=0.122976
task_id=28 response_ms=36.1403 kernel_plus_memory_ms=36.0502 kernel_only_ms=35.8056 h2d_ms=0.120928 d2h_ms=0.123616
task_id=29 response_ms=36.0513 kernel_plus_memory_ms=35.9624 kernel_only_ms=35.7298 h2d_ms=0.10624 d2h_ms=0.126432
task_id=30 response_ms=36.1292 kernel_plus_memory_ms=36.0427 kernel_only_ms=35.8065 h2d_ms=0.117504 d2h_ms=0.11872
task_id=31 response_ms=36.1943 kernel_plus_memory_ms=36.1017 kernel_only_ms=35.8024 h2d_ms=0.161472 d2h_ms=0.137888
task_id=32 response_ms=36.254 kernel_plus_memory_ms=36.122 kernel_only_ms=35.8197 h2d_ms=0.176192 d2h_ms=0.126144
task_id=33 response_ms=36.1586 kernel_plus_memory_ms=36.0598 kernel_only_ms=35.8183 h2d_ms=0.108512 d2h_ms=0.132992
task_id=34 response_ms=36.0926 kernel_plus_memory_ms=35.9927 kernel_only_ms=35.7327 h2d_ms=0.113184 d2h_ms=0.146784
task_id=35 response_ms=36.0679 kernel_plus_memory_ms=35.9755 kernel_only_ms=35.7318 h2d_ms=0.120192 d2h_ms=0.123488
task_id=36 response_ms=36.0576 kernel_plus_memory_ms=35.9659 kernel_only_ms=35.7204 h2d_ms=0.122112 d2h_ms=0.123296
task_id=37 response_ms=36.1138 kernel_plus_memory_ms=36.0274 kernel_only_ms=35.796 h2d_ms=0.108896 d2h_ms=0.122528
task_id=38 response_ms=36.1486 kernel_plus_memory_ms=36.0528 kernel_only_ms=35.8128 h2d_ms=0.10736 d2h_ms=0.13264
task_id=39 response_ms=36.1394 kernel_plus_memory_ms=36.0471 kernel_only_ms=35.8071 h2d_ms=0.112256 d2h_ms=0.127744
task_id=40 response_ms=36.0498 kernel_plus_memory_ms=35.961 kernel_only_ms=35.7168 h2d_ms=0.121824 d2h_ms=0.122432
task_id=41 response_ms=36.1424 kernel_plus_memory_ms=36.0472 kernel_only_ms=35.8018 h2d_ms=0.124064 d2h_ms=0.12128
task_id=42 response_ms=36.0661 kernel_plus_memory_ms=35.98 kernel_only_ms=35.7348 h2d_ms=0.122592 d2h_ms=0.122592
task_id=43 response_ms=36.1551 kernel_plus_memory_ms=36.0611 kernel_only_ms=35.816 h2d_ms=0.109856 d2h_ms=0.1352
task_id=44 response_ms=36.0397 kernel_plus_memory_ms=35.9495 kernel_only_ms=35.7096 h2d_ms=0.119552 d2h_ms=0.12032
task_id=45 response_ms=36.1225 kernel_plus_memory_ms=36.0275 kernel_only_ms=35.7531 h2d_ms=0.13728 d2h_ms=0.137088
task_id=46 response_ms=36.1321 kernel_plus_memory_ms=36.0222 kernel_only_ms=35.7308 h2d_ms=0.164096 d2h_ms=0.127232
task_id=47 response_ms=36.2481 kernel_plus_memory_ms=36.1236 kernel_only_ms=35.8332 h2d_ms=0.166624 d2h_ms=0.123872
task_id=48 response_ms=36.1349 kernel_plus_memory_ms=36.0042 kernel_only_ms=35.6999 h2d_ms=0.134848 d2h_ms=0.169408
task_id=49 response_ms=36.0993 kernel_plus_memory_ms=35.9963 kernel_only_ms=35.7414 h2d_ms=0.131776 d2h_ms=0.123104
task_id=50 response_ms=36.0845 kernel_plus_memory_ms=35.9862 kernel_only_ms=35.7322 h2d_ms=0.129952 d2h_ms=0.124064
task_id=51 response_ms=36.2549 kernel_plus_memory_ms=36.1413 kernel_only_ms=35.8652 h2d_ms=0.137824 d2h_ms=0.138304
task_id=52 response_ms=36.0695 kernel_plus_memory_ms=35.9686 kernel_only_ms=35.7228 h2d_ms=0.100896 d2h_ms=0.14496
task_id=53 response_ms=36.0789 kernel_plus_memory_ms=35.9752 kernel_only_ms=35.7225 h2d_ms=0.111104 d2h_ms=0.1416
task_id=54 response_ms=36.1399 kernel_plus_memory_ms=36.0462 kernel_only_ms=35.8005 h2d_ms=0.125376 d2h_ms=0.120288
task_id=55 response_ms=36.163 kernel_plus_memory_ms=36.0678 kernel_only_ms=35.8171 h2d_ms=0.125984 d2h_ms=0.124672
task_id=56 response_ms=36.1582 kernel_plus_memory_ms=36.0647 kernel_only_ms=35.8104 h2d_ms=0.114848 d2h_ms=0.139488
task_id=57 response_ms=36.0764 kernel_plus_memory_ms=35.9814 kernel_only_ms=35.7348 h2d_ms=0.110176 d2h_ms=0.136448
task_id=58 response_ms=36.0415 kernel_plus_memory_ms=35.9568 kernel_only_ms=35.7233 h2d_ms=0.111552 d2h_ms=0.121952
task_id=59 response_ms=36.0991 kernel_plus_memory_ms=35.9886 kernel_only_ms=35.74 h2d_ms=0.123584 d2h_ms=0.125024
task_id=60 response_ms=36.1284 kernel_plus_memory_ms=36.0183 kernel_only_ms=35.7293 h2d_ms=0.163648 d2h_ms=0.125408
task_id=61 response_ms=36.0786 kernel_plus_memory_ms=35.9882 kernel_only_ms=35.7413 h2d_ms=0.120128 d2h_ms=0.126752
task_id=62 response_ms=36.0771 kernel_plus_memory_ms=35.9749 kernel_only_ms=35.7334 h2d_ms=0.114144 d2h_ms=0.127296
task_id=63 response_ms=36.0667 kernel_plus_memory_ms=35.9723 kernel_only_ms=35.7318 h2d_ms=0.12352 d2h_ms=0.116896
task_id=64 response_ms=36.1123 kernel_plus_memory_ms=36.0203 kernel_only_ms=35.774 h2d_ms=0.124 d2h_ms=0.12224
task_id=65 response_ms=36.1163 kernel_plus_memory_ms=36.0077 kernel_only_ms=35.7377 h2d_ms=0.142368 d2h_ms=0.127616
task_id=66 response_ms=36.0484 kernel_plus_memory_ms=35.9697 kernel_only_ms=35.733 h2d_ms=0.104224 d2h_ms=0.132416
task_id=67 response_ms=36.1493 kernel_plus_memory_ms=36.052 kernel_only_ms=35.8017 h2d_ms=0.118304 d2h_ms=0.132032
task_id=68 response_ms=36.1676 kernel_plus_memory_ms=36.0759 kernel_only_ms=35.828 h2d_ms=0.121792 d2h_ms=0.12608
