task_id=0 response_ms=30.9025 kernel_plus_memory_ms=30.3618 kernel_only_ms=30.1836 h2d_ms=0.082752 d2h_ms=0.095424
task_id=1 response_ms=29.9042 kernel_plus_memory_ms=29.792 kernel_only_ms=29.3062 h2d_ms=0.395552 d2h_ms=0.09024
task_id=2 response_ms=29.8839 kernel_plus_memory_ms=29.7624 kernel_only_ms=29.2889 h2d_ms=0.41328 d2h_ms=0.060224
task_id=3 response_ms=29.8533 kernel_plus_memory_ms=29.7363 kernel_only_ms=29.2716 h2d_ms=0.403008 d2h_ms=0.061664
task_id=4 response_ms=29.8898 kernel_plus_memory_ms=29.77 kernel_only_ms=29.2784 h2d_ms=0.42928 d2h_ms=0.062272
task_id=5 response_ms=29.7789 kernel_plus_memory_ms=29.6781 kernel_only_ms=29.2306 h2d_ms=0.384704 d2h_ms=0.062784
task_id=6 response_ms=29.8075 kernel_plus_memory_ms=29.7117 kernel_only_ms=29.2717 h2d_ms=0.389024 d2h_ms=0.050912
task_id=7 response_ms=29.8398 kernel_plus_memory_ms=29.7412 kernel_only_ms=29.2959 h2d_ms=0.391808 d2h_ms=0.053568
task_id=8 response_ms=29.8278 kernel_plus_memory_ms=29.7279 kernel_only_ms=29.2902 h2d_ms=0.38784 d2h_ms=0.049824
task_id=9 response_ms=29.8007 kernel_plus_memory_ms=29.7056 kernel_only_ms=29.2713 h2d_ms=0.382272 d2h_ms=0.052064
task_id=10 response_ms=29.8158 kernel_plus_memory_ms=29.7232 kernel_only_ms=29.2927 h2d_ms=0.37888 d2h_ms=0.051552
task_id=11 response_ms=29.7993 kernel_plus_memory_ms=29.7129 kernel_only_ms=29.284 h2d_ms=0.383712 d2h_ms=0.045216
task_id=12 response_ms=29.8182 kernel_plus_memory_ms=29.717 kernel_only_ms=29.2808 h2d_ms=0.387424 d2h_ms=0.048736
task_id=13 response_ms=29.8783 kernel_plus_memory_ms=29.7621 kernel_only_ms=29.31 h2d_ms=0.401888 d2h_ms=0.050272
task_id=14 response_ms=29.8084 kernel_plus_memory_ms=29.7158 kernel_only_ms=29.2798 h2d_ms=0.386048 d2h_ms=0.049888
task_id=15 response_ms=29.8389 kernel_plus_memory_ms=29.7477 kernel_only_ms=29.3156 h2d_ms=0.383456 d2h_ms=0.048672
task_id=16 response_ms=29.8271 kernel_plus_memory_ms=29.7326 kernel_only_ms=29.2929 h2d_ms=0.392832 d2h_ms=0.046848
task_id=17 response_ms=29.8077 kernel_plus_memory_ms=29.7103 kernel_only_ms=29.2789 h2d_ms=0.384736 d2h_ms=0.046592
task_id=18 response_ms=29.8122 kernel_plus_memory_ms=29.7119 kernel_only_ms=29.2834 h2d_ms=0.378688 d2h_ms=0.049856
task_id=19 response_ms=29.7978 kernel_plus_memory_ms=29.7138 kernel_only_ms=29.2858 h2d_ms=0.379808 d2h_ms=0.048192
task_id=20 response_ms=29.7876 kernel_plus_memory_ms=29.6959 kernel_only_ms=29.2655 h2d_ms=0.386112 d2h_ms=0.04432
task_id=21 response_ms=29.7939 kernel_plus_memory_ms=29.6984 kernel_only_ms=29.2623 h2d_ms=0.390176 d2h_ms=0.045888
task_id=22 response_ms=29.794 kernel_plus_memory_ms=29.7078 kernel_only_ms=29.2772 h2d_ms=0.3832 d2h_ms=0.047392
task_id=23 response_ms=29.8149 kernel_plus_memory_ms=29.7234 kernel_only_ms=29.2889 h2d_ms=0.379648 d2h_ms=0.054784
task_id=24 response_ms=29.8014 kernel_plus_memory_ms=29.716 kernel_only_ms=29.2832 h2d_ms=0.382304 d2h_ms=0.050528
task_id=25 response_ms=29.8123 kernel_plus_memory_ms=29.7175 kernel_only_ms=29.2839 h2d_ms=0.38992 d2h_ms=0.043616
task_id=26 response_ms=29.7919 kernel_plus_memory_ms=29.7002 kernel_only_ms=29.2653 h2d_ms=0.388288 d2h_ms=0.046624
task_id=27 response_ms=29.7912 kernel_plus_memory_ms=29.6992 kernel_only_ms=29.2666 h2d_ms=0.386752 d2h_ms=0.045856
task_id=28 response_ms=29.7946 kernel_plus_memory_ms=29.7042 kernel_only_ms=29.2728 h2d_ms=0.382528 d2h_ms=0.048928
task_id=29 response_ms=29.7995 kernel_plus_memory_ms=29.703 kernel_only_ms=29.2653 h2d_ms=0.386272 d2h_ms=0.051392
task_id=30 response_ms=29.7891 kernel_plus_memory_ms=29.6939 kernel_only_ms=29.2638 h2d_ms=0.387456 d2h_ms=0.042624
task_id=31 response_ms=29.8019 kernel_plus_memory_ms=29.7046 kernel_only_ms=29.273 h2d_ms=0.38624 d2h_ms=0.045408
task_id=32 response_ms=29.8199 kernel_plus_memory_ms=29.6927 kernel_only_ms=29.2568 h2d_ms=0.388928 d2h_ms=0.046944
task_id=33 response_ms=29.7823 kernel_plus_memory_ms=29.689 kernel_only_ms=29.2566 h2d_ms=0.384128 d2h_ms=0.048256
task_id=34 response_ms=29.8103 kernel_plus_memory_ms=29.7124 kernel_only_ms=29.274 h2d_ms=0.387968 d2h_ms=0.050336
task_id=35 response_ms=29.7846 kernel_plus_memory_ms=29.6971 kernel_only_ms=29.2733 h2d_ms=0.382048 d2h_ms=0.04176
task_id=36 response_ms=29.8038 kernel_plus_memory_ms=29.6916 kernel_only_ms=29.2664 h2d_ms=0.379424 d2h_ms=0.045824
task_id=37 response_ms=29.9607 kernel_plus_memory_ms=29.854 kernel_only_ms=29.2604 h2d_ms=0.54512 d2h_ms=0.048576
task_id=38 response_ms=29.779 kernel_plus_memory_ms=29.6812 kernel_only_ms=29.25 h2d_ms=0.379552 d2h_ms=0.051648
task_id=39 response_ms=29.7725 kernel_plus_memory_ms=29.6797 kernel_only_ms=29.252 h2d_ms=0.3848 d2h_ms=0.042848
task_id=40 response_ms=29.7988 kernel_plus_memory_ms=29.7054 kernel_only_ms=29.2746 h2d_ms=0.385376 d2h_ms=0.045472
task_id=41 response_ms=29.7934 kernel_plus_memory_ms=29.6937 kernel_only_ms=29.2612 h2d_ms=0.385856 d2h_ms=0.04656
task_id=42 response_ms=29.8002 kernel_plus_memory_ms=29.7162 kernel_only_ms=29.2848 h2d_ms=0.381536 d2h_ms=0.049888
task_id=43 response_ms=29.8264 kernel_plus_memory_ms=29.7228 kernel_only_ms=29.2853 h2d_ms=0.384416 d2h_ms=0.052992
task_id=44 response_ms=29.8134 kernel_plus_memory_ms=29.7134 kernel_only_ms=29.2783 h2d_ms=0.388928 d2h_ms=0.046208
task_id=45 response_ms=29.8104 kernel_plus_memory_ms=29.7136 kernel_only_ms=29.2829 h2d_ms=0.386752 d2h_ms=0.043968
task_id=46 response_ms=29.8378 kernel_plus_memory_ms=29.7375 kernel_only_ms=29.2984 h2d_ms=0.392864 d2h_ms=0.04624
task_id=47 response_ms=29.8248 kernel_plus_memory_ms=29.7299 kernel_only_ms=29.2941 h2d_ms=0.387104 d2h_ms=0.04864
task_id=48 response_ms=29.7928 kernel_plus_memory_ms=29.6886 kernel_only_ms=29.2543 h2d_ms=0.383424 d2h_ms=0.050912
task_id=49 response_ms=29.7852 kernel_plus_memory_ms=29.6921 kernel_only_ms=29.2664 h2d_ms=0.382144 d2h_ms=0.043552
task_id=50 response_ms=29.8169 kernel_plus_memory_ms=29.7211 kernel_only_ms=29.2878 h2d_ms=0.388576 d2h_ms=0.044672
task_id=51 response_ms=29.7687 kernel_plus_memory_ms=29.684 kernel_only_ms=29.2512 h2d_ms=0.3832 d2h_ms=0.049664
